,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Bsmt Total SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Yr Sold,Sale Type,SalePrice,Conditions,BsmtFin SF,Bsmt Total Baths,Total Baths,Fireplaces*Fireplace Quality ,Mo/Yr Sold,Overall Quality Score,Exterior Covering,Exterior Quality Score,BsmtFin Quality Score,Larger Gr Liv Area,Over 50%Fin Bsmt,Blmngtn,Blueste,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,Greens,GrnHill,IDOTRR,Landmrk,MeadowV,Mitchel,NAmes,NPkVill,NWAmes,NoRidge,NridgHt,OldTown,SWISU,Sawyer,SawyerW,Somerst,StoneBr,Timber,Veenker
0,109,60,RL,0.0,13517,Pave,No Access,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,CBlock,TA,TA,No,533.0,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725,754,0,1479,2,1,3,1,Gd,6,Typ,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,0,44,0,0,0,0,NP,0,None,0,2010,WD ,130500,"RRAe,Norm",533.0,0.0,3,,3-2010,48,HdBoard&Plywood,12,6,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,544,60,RL,43.0,11492,Pave,No Access,IR1,Lvl,AllPub,CulDSac,Gtl,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,PConc,Gd,TA,No,637.0,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913,1209,0,2122,2,1,4,1,Gd,8,Typ,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0,74,0,0,0,0,NP,0,None,0,2009,WD ,220000,"Norm,Norm",637.0,1.0,3,TA,4-2009,35,VinylSd&VinylSd,12,6,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,153,20,RL,68.0,7922,Pave,No Access,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,CBlock,TA,TA,No,731.0,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,3,1,Gd,5,Typ,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0,52,0,0,0,0,NP,0,None,0,2010,WD ,109000,"Norm,Norm",731.0,1.0,1,,1-2010,35,VinylSd&VinylSd,12,6,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,318,60,RL,73.0,9802,Pave,No Access,Reg,Lvl,AllPub,Inside,Gtl,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,PConc,Gd,TA,No,0.0,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744,700,0,1444,2,1,3,1,TA,7,Typ,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,NP,0,None,0,2010,WD ,174000,"Norm,Norm",0.0,0.0,3,,4-2010,25,VinylSd&VinylSd,9,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,255,50,RL,82.0,14235,Pave,No Access,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,PConc,Fa,Gd,No,0.0,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831,614,0,1445,2,0,3,1,TA,6,Typ,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0,59,0,0,0,0,NP,0,None,0,2010,WD ,138500,"Norm,Norm",0.0,0.0,2,,3-2010,48,Wd Sdng&Plywood,9,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,138,20,RL,137.0,16492,Pave,No Access,IR1,Lvl,AllPub,Corner,Gtl,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,CBlock,TA,TA,No,247.0,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,2,1,2,1,Gd,6,Mod,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,0,0,0,0,0,0,NP,0,None,0,2010,WD ,190000,"PosA,Norm",960.0,0.0,3,Gd,6-2010,36,BrkFace&Plywood,12,15,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,2827,180,RM,35.0,3675,Pave,No Access,Reg,Lvl,AllPub,Inside,Gtl,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,PConc,Gd,TA,Gd,547.0,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072,0,0,1072,2,0,2,1,TA,5,Typ,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,NP,0,None,0,2006,New,140000,"Norm,Norm",547.0,1.0,2,,6-2006,30,VinylSd&VinylSd,9,6,False,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,145,20,RL,0.0,12160,Pave,No Access,IR1,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,CBlock,TA,TA,No,1000.0,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,1,0,3,1,TA,6,Typ,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,0,0,0,0,0,0,NP,3,None,0,2010,COD,142000,"Norm,Norm",1000.0,1.0,1,,5-2010,25,Plywood&Plywood,9,3,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,1942,20,RL,0.0,15783,Pave,No Access,Reg,Lvl,AllPub,Inside,Gtl,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,TA,No,292.0,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924,0,0,924,1,0,2,1,TA,6,Typ,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,0,324,0,0,0,0,NP,3,Shed,400,2007,WD ,112500,"Artery,Norm",292.0,0.0,1,,6-2007,25,Wd Sdng&Wd Sdng,9,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,1956,60,RL,70.0,11606,Pave,No Access,IR1,HLS,AllPub,Inside,Sev,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,PConc,Gd,TA,Av,650.0,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040,1040,0,2080,1,2,5,1,Fa,9,Typ,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335,0,0,0,0,0,NP,0,None,0,2007,WD ,135000,"Norm,Norm",650.0,1.0,3,TATA,9-2007,25,Plywood&Plywood,9,3,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
